GND;Abi_Autor;Abi_Summe
https://d-nb.info/gnd/120013428;Kracht;1
https://d-nb.info/gnd/119520621;Köppen;1
https://d-nb.info/gnd/118599631;Remarque;1
https://d-nb.info/gnd/118559427;Kaiser;1
https://d-nb.info/gnd/118520040;Chamisso;1
https://d-nb.info/gnd/118637479;Zweig;1
https://d-nb.info/gnd/118531395;Euripides;1
https://d-nb.info/gnd/11904157X;Widmer;1
https://d-nb.info/gnd/118722123;Keun;1
https://d-nb.info/gnd/118555286;Ibsen;1
https://d-nb.info/gnd/120526107;Ingo Schulze;1
https://d-nb.info/gnd/120448041;Judith Hermann;1
https://d-nb.info/gnd/119204290;Kertész;1
https://d-nb.info/gnd/119071738;Klüger;1
https://d-nb.info/gnd/118744070;Reimann;1
https://d-nb.info/gnd/118512676;Böll;1
https://d-nb.info/gnd/115698027;Vanderbeke;1
https://d-nb.info/gnd/118630539;Weiss;1
https://d-nb.info/gnd/11894293X;Gstrein;1
https://d-nb.info/gnd/118547445;Hebbel;1
https://d-nb.info/gnd/118619047;Strauß;1
https://d-nb.info/gnd/118617958;Sternheim;1
https://d-nb.info/gnd/118619322;Strittmatter;1
https://d-nb.info/gnd/118584162;Moritz;1
https://d-nb.info/gnd/119053071;Herta Müller;1
https://d-nb.info/gnd/118584944;Heiner Müller;1
https://d-nb.info/gnd/118546619;Hasenclever;1
https://d-nb.info/gnd/118512161;Bobrowski;1
https://d-nb.info/gnd/118542192;Grillparzer;1
https://d-nb.info/gnd/124054579;Kumpfmüller;1
https://d-nb.info/gnd/122397061;Tellkamp;1
https://d-nb.info/gnd/12053715X;Zaimoglu;1
https://d-nb.info/gnd/118509861;Thomas Bernhard;1
https://d-nb.info/gnd/118529390;Eichendorff;2
https://d-nb.info/gnd/118553739;Horváth;2
https://d-nb.info/gnd/118571680;Lenz;2
https://d-nb.info/gnd/115673784;Schlink;2
https://d-nb.info/gnd/11855817X;Johnson;2
https://d-nb.info/gnd/118924389;Delius;2
https://d-nb.info/gnd/118746693;Heinrich;2
https://d-nb.info/gnd/118839276;Timm;2
https://d-nb.info/gnd/118552759;Hofmannsthal;2
https://d-nb.info/gnd/118618725;Storm;2
https://d-nb.info/gnd/11856109X;G. Keller;3
https://d-nb.info/gnd/118585916;R. Musil;3
https://d-nb.info/gnd/118603140;J. Roth;3
https://d-nb.info/gnd/12989432X;L. Tieck;3
https://d-nb.info/gnd/115812431;D. Kehlmann;4
https://d-nb.info/gnd/118548018;H. Heine;4
https://d-nb.info/gnd/120821044;P. Stamm;4
https://d-nb.info/gnd/11855042X;H. Hesse;4
https://d-nb.info/gnd/118840991;Ch. Hein;5
https://d-nb.info/gnd/118534556;F. de la Motte Fouqué;5
https://d-nb.info/gnd/123120802;J. Zeh;5
https://d-nb.info/gnd/118564471;W. Koeppen;6
https://d-nb.info/gnd/118546937;G. Hauptmann;7
https://d-nb.info/gnd/118536109;M. Frisch;7
https://d-nb.info/gnd/118503251;J. Anouilh;7
https://d-nb.info/gnd/118885006;P. Süskind;8
https://d-nb.info/gnd/118609807;A. Schnitzler;8
https://d-nb.info/gnd/118829742;J. Becker;8
https://d-nb.info/gnd/118551736;R. Hochhuth;8
https://d-nb.info/gnd/118613723;W. Shakespeare;9
https://d-nb.info/gnd/118615688;Sophokles;10
https://d-nb.info/gnd/118541579;G. Grass;11
https://d-nb.info/gnd/118634666;Ch. Wolf;14
https://d-nb.info/gnd/118572121;G. E. Lessing;15
https://d-nb.info/gnd/118527908;F. Dürrenmatt;22
https://d-nb.info/gnd/118577166;Th. Mann;25
https://d-nb.info/gnd/118552465;E.T.A. Hoffmann;27
https://d-nb.info/gnd/118514768;B. Brecht;29
https://d-nb.info/gnd/118516906;G. Büchner;33
https://d-nb.info/gnd/118534262;Th. Fontane;33
https://d-nb.info/gnd/118563076;H. v. Kleist;37
https://d-nb.info/gnd/118607626;F. Schiller;41
https://d-nb.info/gnd/118559230;F. Kafka;47
https://d-nb.info/gnd/118540238;J. W. v. Goethe;48